OP	REF	HYP
INS	****	SO
SUB	I'D	I
OK	LIKE	LIKE
SUB	TO	INDIVIDUALITY
OK	WELCOME	WELCOME
OK	PEOPLE	PEOPLE
DEL	TO	****
DEL	THIS	****
SUB	COURSE	DISCOURSE
OK	INTRODUCTION	INTRODUCTION
DEL	TO	****
OK	PSYCHOLOGY	PSYCHOLOGY
OK	MY	MY
OK	NAME	NAME
OK	IS	IS
SUB	DR	DOCTOR
OK	PAUL	PAUL
DEL	BLOOM	****
DEL	I'M	****
SUB	PROFESSOR	BLOCKBUSTER
OK	OF	OF
OK	THIS	THIS
OK	COURSE	COURSE
SUB	AND	AH
OK	WHAT	WHAT
SUB	THIS	IS
SUB	IS	THIS
OK	GOING	GOING
OK	TO	TO
OK	BE	BE
SUB	IS	AS
OK	A	A
OK	COMPREHENSIVE	COMPREHENSIVE
DEL	INTRODUCTION	****
DEL	TO	****
DEL	THE	****
SUB	STUDY	REDUCTION
SUB	OF	DOES
SUB	THE	THAT
OK	HUMAN	HUMAN
SUB	MIND	MY
OK	SO	SO
DEL	WE	****
DEL	ARE	****
DEL	GOING	****
SUB	TO	WHAT
OK	COVER	COVER
DEL	A	****
OK	VERY	VERY
OK	VERY	VERY
OK	WIDE	WIDE
OK	RANGE	RANGE
SUB	OF	ON
SUB	TOPICS	INCLUDING
SUB	INCLUDING	RANGE
SUB	BRAINS	OVER
SUB	CHILDREN	ONE
SUB	LANGUAGE	WITH
OK	SEX	SEX
OK	MEMORY	MEMORY
DEL	MADNESS	****
SUB	DISGUST	BATS
OK	RACISM	RACISM
SUB	AND	OF
OK	LOVE	LOVE
OK	AND	AND
OK	MANY	MANY
OK	OTHERS	OTHERS
DEL	WE'RE	****
SUB	GOING	WHEN
SUB	TO	I
OK	TALK	TALK
OK	ABOUT	ABOUT
OK	THINGS	THINGS
OK	LIKE	LIKE
SUB	THE	PROPER
SUB	PROPER	EXCLAMATION
SUB	EXPLANATION	TO
OK	FOR	FOR
OK	DIFFERENCES	DIFFERENCES
OK	BETWEEN	BETWEEN
OK	MEN	MEN
OK	AND	AND
OK	WOMEN	WOMEN
INS	****	BOB
SUB	THE	A
OK	QUESTION	QUESTION
OK	OF	OF
OK	WHETHER	WHETHER
OK	ANIMALS	ANIMALS
OK	CAN	CAN
OK	LEARN	LEARN
OK	LANGUAGE	LANGUAGE
OK	THE	THE
SUB	PUZZLE	PARCEL
OK	OF	OF
OK	WHAT	WHAT
DEL	GROSSES	****
SUB	US	ROSES
SUB	OUT	IS
SUB	THE	A
OK	PROBLEM	PROBLEM
SUB	OF	BUT
OK	WHY	WHY
OK	SOME	SOME
OK	OF	OF
OK	US	US
INS	****	TO
OK	EAT	EAT
OK	TOO	TOO
OK	MUCH	MUCH
SUB	AND	YOU
SUB	WHAT	WILL
OK	WE	WE
DEL	COULD	****
SUB	DO	GET
SUB	TO	YOU
OK	STOP	STOP
OK	THE	THE
OK	QUESTION	QUESTION
OK	OF	OF
OK	WHY	WHY
OK	PEOPLE	PEOPLE
OK	GO	GO
OK	CRAZY	CRAZY
OK	IN	IN
OK	GROUPS	GROUPS
OK	RESEARCH	RESEARCH
SUB	INTO	AND
OK	WHETHER	WHETHER
OK	YOU	YOU
OK	COULD	COULD
OK	TRUST	TRUST
SUB	YOUR	HER
OK	CHILDHOOD	CHILDHOOD
OK	MEMORIES	MEMORIES
OK	RESEARCH	RESEARCH
OK	INTO	INTO
SUB	WHY	WHAT
OK	SOME	SOME
OK	OF	OF
OK	US	US
OK	GET	GET
