OP | REF | HYP
DEL | we're | ****
DEL | going | ****
SUB | to | lieutenant
SUB | begin | against
OK | the | the
OK | class | class
OK | proper | proper
SUB | introduction | bomb
SUB | to | introduction
OK | psychology | psychology
OK | with | with
OK | a | a
OK | discussion | discussion
OK | about | about
OK | the | the
OK | brain | brain
OK | and | and
SUB | in | take
SUB | particular | your
OK | i | i
DEL | want | ****
SUB | to | will
OK | lead | lead
OK | off | off
OK | the | the
OK | class | class
INS | **** | tom
OK | with | with
OK | an | an
OK | idea | idea
OK | that | that
OK | the | the
OK | nobel | nobel
OK | prize | prize
OK | winning | winning
INS | **** | biology
SUB | biologist | us
OK | francis | francis
INS | **** | grit
SUB | crick | right
SUB | described | that's
SUB | as | this
SUB | the | don
SUB | astonishing | king
OK | hypothesis | hypothesis
OK | and | and
DEL | the | ****
OK | astonishing | astonishing
OK | hypothesis | hypothesis
OK | is | is
SUB | summarized | sometimes
OK | like | like
OK | this | this
OK | as | as
OK | he | he
OK | writes | writes
INS | **** | this
SUB | the | don
SUB | astonishing | king
OK | hypothesis | hypothesis
OK | is | is
OK | that | that
SUB | you | view
OK | your | your
SUB | joys | joyce
SUB | and | in
OK | your | your
OK | sorrows | sorrows
OK | your | your
DEL | memories | ****
SUB | and | memory
OK | your | your
OK | ambitions | ambitions
OK | your | your
OK | sense | sense
DEL | of | ****
DEL | personal | ****
DEL | identity | ****
SUB | and | pointing
OK | free | free
OK | will | will
OK | are | are
OK | in | in
OK | fact | fact
OK | no | no
OK | more | more
OK | than | than
OK | the | the
OK | behavior | behavior
OK | of | of
SUB | a | the
SUB | vast | fast
OK | assembly | assembly
OK | of | of
OK | nerve | nerve
OK | cells | cells
DEL | and | ****
DEL | their | ****
DEL | associated | ****
SUB | molecules | long
OK | as | as
OK | lewis | lewis
SUB | carroll's | carroll
SUB | alice | salads
SUB | might | my
SUB | have | the
SUB | phrased | phrase
SUB | it | to
SUB | you're | you
OK | nothing | nothing
OK | but | but
OK | a | a
OK | pack | pack
OK | of | of
OK | neurons | neurons
INS | **** | tom
OK | it | it
OK | is | is
OK | fair | fair
OK | to | to
OK | describe | describe
OK | this | this
OK | as | as
OK | astonishing | astonishing
OK | it | it
OK | is | is
OK | an | an
SUB | odd | aunt
OK | and | and
OK | unnatural | unnatural
DEL | view | ****
OK | and | and
OK | i | i
OK | don't | don't
OK | actually | actually
OK | expect | expect
OK | people | people
OK | to | to
OK | believe | believe
DEL | it | ****
DEL | at | ****
SUB | first | that
OK | it's | it's
DEL | an | ****
SUB | open | northern
OK | question | question
OK | whether | whether
OK | you'll | you'll
OK | believe | believe
OK | it | it
OK | when | when
OK | this | this
OK | class | class
OK | comes | comes
SUB | to | when
OK | an | an
DEL | end | ****
OK | but | but
OK | i'd | i'd
OK | be | be
OK | surprised | surprised
SUB | if | it
OK | many | many
DEL | of | ****
SUB | you | view
OK | believe | believe
OK | it | it
OK | now | now
OK | most | most
OK | people | people
OK | don't | don't
OK | most | most
OK | people | people
DEL | in | ****
DEL | fact | ****
OK | hold | hold
DEL | a | ****
SUB | different | it
SUB | view | differently
OK | most | most
OK | people | people
OK | are | are
INS | **** | do
INS | **** | what
SUB | dualists | was
OK | now | now
OK | dualism | dualism
OK | is | is
OK | a | a
OK | very | very
OK | different | different
SUB | doctrine | doctor
OK | it's | it's
OK | a | a
DEL | doctrine | ****
SUB | that | doctor
OK | can | can
OK | be | be
OK | found | found
DEL | in | ****
OK | every | every
OK | religion | religion
OK | and | and
OK | in | in
OK | most | most
OK | philosophical | philosophical
OK | systems | systems
INS | **** | i
SUB | throughout | throat
OK | history | history
OK | it | it
OK | was | was
OK | very | very
OK | explicit | explicit
OK | in | in
OK | plato | plato
DEL | for | ****
SUB | instance | friends
SUB | but | that's
OK | the | the
OK | most | most
OK | articulate | articulate
OK | and | and
SUB | well-known | well
SUB | defender | known
SUB | of | offender
OK | dualism | dualism
OK | is | is
OK | the | the
OK | philosopher | philosopher
OK | rene | rene
OK | descartes | descartes
OK | and | and
SUB | rene | renee
OK | descartes | descartes
INS | **** | calm
OK | explicitly | explicitly
OK | asked | asked
OK | a | a
OK | question | question
SUB | are | our
OK | humans | humans
OK | merely | merely
OK | physical | physical
OK | machines | machines
SUB | merely | nearly
OK | physical | physical
OK | things | things
DEL | and | ****
DEL | he | ****
SUB | answered | any
SUB | no | astronaut
OK | he | he
OK | agreed | agreed
OK | that | that
OK | animals | animals
SUB | are | our
OK | machines | machines
OK | in | in
OK | fact | fact
SUB | he | they
SUB | called | call
OK | them | them
OK | beast | beast
OK | machines | machines
OK | and | and
OK | said | said
OK | animals | animals
INS | **** | non
SUB | nonhuman | human
OK | animals | animals
SUB | are | or
OK | merely | merely
OK | robots | robots
OK | but | but
OK | people | people
OK | are | are
OK | different | different
OK | there's | there's
OK | a | a
INS | **** | do
SUB | duality | well
OK | of | of
INS | **** | the
OK | people | people
OK | like | like
OK | animals | animals
SUB | we | be
SUB | possess | possessed
SUB | physical | very
SUB | material | robots
SUB | bodies | but
SUB | but | on
SUB | unlike | like
OK | animals | animals
OK | what | what
OK | we | we
OK | are | are
OK | is | is
OK | not | not
OK | physical | physical
OK | we | we
OK | are | are
OK | immaterial | immaterial
OK | souls | souls
DEL | that | ****
SUB | possess | possessed
OK | physical | physical
SUB | bodies | bought
OK | that | that
INS | **** | at
OK | have | have
OK | physical | physical
OK | bodies | bodies
SUB | that | the
OK | reside | reside
OK | in | in
OK | physical | physical
OK | bodies | bodies
OK | that | that
SUB | connect | connects
SUB | to | the
OK | physical | physical
OK | bodies | bodies
INS | **** | on
OK | so | so
OK | this | this
OK | is | is
OK | known | known
OK | as | as
OK | dualism | dualism
OK | because | because
OK | the | the
OK | claim | claim
OK | is | is
SUB | for | free
OK | humans | humans
OK | at | at
OK | least | least
DEL | there | ****
OK | are | are
SUB | two | to
OK | separate | separate
SUB | things | fact
OK | there's | there's
SUB | our | a
OK | material | material
OK | bodies | bodies
OK | and | and
SUB | there's | as
SUB | our | are
OK | immaterial | immaterial
DEL | minds | ****
SUB | now | mind
OK | descartes | descartes
DEL | made | ****
SUB | two | rachel
OK | arguments | arguments
OK | for | for
OK | dualism | dualism
OK | one | one
OK | argument | argument
INS | **** | ah
OK | involved | involved
OK | observations | observations
OK | of | of
SUB | a | of
OK | human | human
OK | action | action
OK | so | so
OK | descartes | descartes
SUB | lived | live
OK | in | in
OK | a | a
OK | fairly | fairly
OK | sophisticated | sophisticated
OK | time | time
SUB | and | in
SUB | his | this
OK | time | time
SUB | did | to
OK | have | have
OK | robots | robots
OK | these | these
OK | were | were
OK | not | not
OK | electrical | electrical
OK | robots | robots
OK | of | of
OK | course | course
OK | they | they
OK | were | were
OK | robots | robots
SUB | powered | our
OK | by | by
INS | **** | an
INS | **** | eye
SUB | hydraulics | drops
OK | so | so
OK | descartes | descartes
OK | would | would
OK | walk | walk
OK | around | around
OK | the | the
OK | french | french
SUB | royal | will
SUB | gardens | guard
OK | and | and
SUB | the | a
OK | french | french
SUB | royal | boyle
SUB | gardens | guards
OK | were | were
OK | set | set
OK | up | up
OK | like | like
OK | a | a
INS | **** | seventeenth
SUB | seventeenth-century | century
OK | disneyland | disneyland
OK | they | they
OK | had | had
OK | these | these
OK | characters | characters
OK | that | that
OK | would | would
OK | operate | operate
OK | according | according
OK | to | to
OK | water | water
OK | flow | flow
OK | and | and
OK | so | so
DEL | if | ****
SUB | you | he
OK | stepped | stepped
OK | on | on
OK | a | a
OK | certain | certain
SUB | panel | now
OK | a | a
INS | **** | swords
SUB | swordsman | men
OK | would | would
OK | jump | jump
OK | out | out
DEL | with | ****
SUB | a | of
SUB | sword | soared
SUB | if | could
OK | you | you
SUB | stepped | step
OK | somewhere | somewhere
OK | else | else
DEL | a | ****
OK | bathing | bathing
OK | beauty | beauty
OK | would | would
OK | cover | cover
SUB | herself | self
OK | up | up
OK | behind | behind
OK | some | some
OK | bushes | bushes
OK | and | and
SUB | descartes | a
SUB | said | cassette
SUB | boy | white
OK | these | these
OK | machines | machines
OK | respond | respond
OK | in | in
OK | certain | certain
SUB | ways | way
SUB | to | the
OK | certain | certain
OK | actions | actions
OK | so | so
OK | machines | machines
OK | can | can
OK | do | do
OK | certain | certain
OK | things | things
DEL | and | ****
SUB | in | of
SUB | fact | that
SUB | he | is
SUB | says | as
SUB | our | are
OK | bodies | bodies
OK | work | work
OK | that | that
OK | way | way
DEL | too | ****
SUB | if | to
SUB | you | opie
OK | tap | tap
OK | somebody | somebody
OK | on | on
DEL | the | ****
DEL | knee | ****
DEL | your | ****
DEL | leg | ****
SUB | will | in
SUB | jump | the
SUB | out | arrival
OK | well | well
OK | maybe | maybe
OK | that's | that's
SUB | what | all
OK | we | we
OK | are | are
SUB | but | the
OK | descartes | descartes
OK | said | said
OK | that | that
OK | can't | can't
OK | be | be
OK | because | because
DEL | there | ****
OK | are | are
OK | things | things
SUB | that | a
OK | humans | humans
OK | do | do
OK | that | that
DEL | no | ****
SUB | machine | know
SUB | could | machines
SUB | ever | are
OK | do | do
OK | humans | humans
OK | are | are
OK | not | not
OK | limited | limited
OK | to | to
SUB | reflexive | reflexes
OK | action | action
OK | rather | rather
OK | humans | humans
OK | are | are
OK | capable | capable
OK | of | of
OK | coordinated | coordinated
INS | **** | create
INS | **** | it's
SUB | creative | bob
SUB | spontaneous | spontaneity
SUB | things | s
OK | we | we
OK | can | can
OK | use | use
OK | language | language
DEL | for | ****
SUB | instance | fronts
OK | and | and
