OP | REF | HYP
DEL | okay | ****
DEL | the | ****
OK | last | last
SUB | class | last
OK | we | we
OK | talked | talked
OK | about | about
OK | the | the
OK | brain | brain
OK | now | now
DEL | we're | ****
DEL | going | ****
DEL | to | ****
DEL | talk | ****
SUB | a | what
SUB | little | pablo
SUB | bit | that
OK | about | about
OK | some | some
OK | foundations | foundations
OK | so | so
OK | today | today
OK | and | and
OK | monday | monday
SUB | we're | when
SUB | going | i
SUB | to | talk
SUB | talk | of
SUB | about | a
OK | two | two
OK | very | very
OK | big | big
OK | ideas | ideas
SUB | and | in
OK | these | these
OK | ideas | ideas
OK | are | are
OK | associated | associated
OK | with | with
INS | **** | sick
SUB | sigmund | man
OK | freud | freud
OK | and | and
SUB | b | b.
SUB | f | f.
OK | skinner | skinner
OK | and | and
SUB | are | i
OK | psychoanalysis | psychoanalysis
OK | and | and
SUB | behaviorism | behaviors
OK | and | and
OK | i | i
OK | want | want
OK | to | to
OK | talk | talk
OK | about | about
OK | psychoanalysis | psychoanalysis
OK | today | today
OK | and | and
SUB | behaviorism | behaviors
OK | next | next
OK | week | week
OK | now | now
OK | one | one
OK | of | of
OK | these | these
OK | things | things
OK | one | one
OK | of | of
OK | the | the
OK | things | things
OK | that | that
OK | makes | makes
DEL | these | ****
SUB | theories | the
SUB | so | russo
OK | interesting | interesting
SUB | is | mr
SUB | their | skull
SUB | scope | mom
OK | most | most
OK | of | of
OK | the | the
OK | work | work
DEL | we're | ****
DEL | going | ****
SUB | to | women
OK | talk | talk
OK | about | about
OK | in | in
OK | this | this
OK | class | class
OK | most | most
OK | of | of
OK | the | the
OK | ideas | ideas
OK | are | are
OK | narrow | narrow
OK | so | so
INS | **** | if
INS | **** | not
SUB | we're | with
SUB | going | some
SUB | to | would
SUB | talk | is
SUB | about | out
OK | somebody's | somebody's
OK | idea | idea
SUB | about | of
SUB | racial | a
SUB | prejudice | racial
SUB | but | prejudiced
SUB | that's | tom
SUB | not | the
SUB | a | best
SUB | theory | not
SUB | of | to
SUB | language | rewind
SUB | acquisition | rejected
SUB | we'll | will
OK | talk | talk
OK | about | about
OK | theories | theories
OK | of | of
OK | schizophrenia | schizophrenia
OK | but | but
OK | they're | they're
OK | not | not
INS | **** | tom
OK | explanations | explanations
OK | of | of
OK | sexual | sexual
SUB | attractiveness | effectiveness
OK | most | most
OK | theories | theories
OK | are | are
OK | specialized | specialized
INS | **** | there
SUB | theories | is
SUB | but | with
OK | these | these
OK | two | two
OK | views | views
OK | are | are
INS | **** | a
INS | **** | rat
SUB | grand | we're
SUB | theories | each
SUB | they're | to
OK | theories | theories
OK | of | of
OK | everything | everything
INS | **** | unconscious
SUB | encompassing | in
OK | just | just
OK | about | about
OK | everything | everything
OK | that | that
INS | **** | matter
SUB | matters | david
SUB | day-to-day | a
OK | life | life
OK | child | child
INS | **** | a
SUB | development | woman
OK | mental | mental
OK | illness | illness
OK | religion | religion
OK | war | war
OK | love | love
OK | freud | freud
OK | and | and
OK | skinner | skinner
OK | had | had
OK | explanations | explanations
SUB | of | for
OK | all | all
OK | of | of
SUB | these | the
SUB | now | at
OK | this | this
OK | is | is
OK | not | not
OK | a | a
OK | history | history
OK | course | course
OK | i | i
OK | have | have
OK | zero | zero
OK | interest | interest
OK | in | in
OK | describing | describing
OK | historical | historical
OK | figures | figures
SUB | in | and
OK | psychology | psychology
OK | just | just
OK | for | for
OK | the | the
OK | sake | sake
DEL | of | ****
OK | telling | telling
DEL | you | ****
OK | about | about
DEL | the | ****
DEL | history | ****
SUB | of | because
SUB | the | you
SUB | field | feel
OK | what | what
OK | i | i
DEL | want | ****
SUB | to | wanna
OK | tell | tell
OK | you | you
OK | about | about
OK | though | though
OK | is | is
OK | i | i
DEL | want | ****
SUB | to | wanna
OK | talk | talk
OK | about | about
OK | these | these
OK | ideas | ideas
SUB | because | you
OK | so | so
OK | much | much
SUB | rests | rest
OK | on | on
DEL | them | ****
OK | and | and
OK | even | even
INS | **** | want
INS | **** | for
SUB | more | dimly
SUB | importantly | on
OK | a | a
OK | lot | lot
OK | of | of
OK | these | these
OK | ideas | ideas
OK | have | have
OK | critical | critical
OK | influence | influence
OK | on | on
OK | how | how
OK | we | we
OK | think | think
OK | about | about
OK | the | the
OK | present | present
OK | and | and
OK | that's | that's
DEL | there | ****
DEL | pointing | ****
DEL | at | ****
DEL | the | ****
SUB | slide | that
OK | now | now
OK | for | for
OK | better | better
OK | or | or
OK | worse | worse
OK | we | we
OK | live | live
OK | in | in
OK | a | a
OK | world | world
OK | profoundly | profoundly
OK | affected | affected
OK | by | by
SUB | sigmund | satan
OK | freud | freud
OK | if | if
OK | i | i
OK | had | had
OK | to | to
OK | ask | ask
OK | you | you
DEL | to | ****
OK | choose | choose
OK | a | a
SUB | no | psychotic
SUB | name | not
SUB | a | need
OK | famous | famous
DEL | psychologist | ****
DEL | the | ****
SUB | answer | psychology
SUB | of | bastard
OK | most | most
DEL | of | ****
DEL | you | ****
SUB | would | to
OK | be | be
OK | freud | freud
INS | **** | mom
OK | he's | he's
OK | the | the
OK | most | most
OK | famous | famous
OK | psychologist | psychologist
OK | ever | ever
DEL | and | ****
DEL | he's | ****
SUB | had | the
SUB | a | senate
OK | profound | profound
OK | influence | influence
OK | on | on
OK | the | the
OK | twentieth | twentieth
OK | and | and
INS | **** | twenty
SUB | twenty-first | first
OK | century | century
INS | **** | palm
OK | some | some
INS | **** | vibe
SUB | biographical | rapid
OK | information | information
OK | he | he
OK | was | was
OK | born | born
OK | in | in
DEL | the | ****
SUB | 1850s | a
SUB | he | fifties
SUB | spent | spend
OK | most | most
OK | of | of
OK | his | his
OK | life | life
INS | **** | and
INS | **** | i
INS | **** | the
SUB | in | and
SUB | vienna | i
OK | austria | austria
INS | **** | then
INS | **** | down
OK | but | but
OK | he | he
OK | died | died
OK | in | in
OK | london | london
SUB | and | in
SUB | he | the
SUB | escaped | escape
SUB | to | of
OK | london | london
OK | soon | soon
OK | after | after
SUB | retreating | training
OK | there | there
OK | at | at
OK | the | the
OK | beginning | beginning
OK | of | of
SUB | world | war
SUB | war | were
SUB | ii | to
OK | as | as
SUB | the | in
SUB | nazis | axes
OK | began | began
OK | to | to
OK | occupy | occupy
OK | where | where
OK | he | he
OK | lived | lived
OK | he's | he's
OK | one | one
OK | of | of
OK | the | the
OK | most | most
OK | famous | famous
SUB | scholars | dollars
OK | ever | ever
OK | but | but
OK | he's | he's
OK | not | not
OK | known | known
OK | for | for
OK | any | any
OK | single | single
SUB | discovery | discover
OK | instead | instead
SUB | he's | is
OK | known | known
OK | for | for
SUB | the | to
OK | development | development
OK | of | of
OK | an | an
INS | **** | unconscious
SUB | encompassing | the
OK | theory | theory
OK | of | of
OK | mind | mind
INS | **** | i'll
OK | one | one
SUB | that | of
SUB | he | the
SUB | developed | develop
OK | over | over
OK | the | the
DEL | span | ****
SUB | of | standard
OK | many | many
OK | decades | decades
INS | **** | tom
OK | he | he
OK | was | was
OK | in | in
SUB | his | this
OK | time | time
INS | **** | makes
SUB | extremely | it
SUB | well | really
SUB | known | while
OK | a | a
OK | celebrity | celebrity
