OP | REF | HYP
DEL | so | ****
OK | most | most
OK | of | of
OK | what | what
OK | we | we
OK | do | do
OK | these | these
OK | days | days
SUB | our | are
OK | methods | methods
SUB | our | are
OK | theories | theories
DEL | our | ****
DEL | ideas | ****
OK | are | are
DEL | shaped | ****
SUB | to | ideas
OK | some | some
OK | extent | extent
OK | by | by
INS | **** | the
SUB | piaget's | edges
SUB | influence | influenced
OK | and | and
OK | so | so
DEL | what | ****
OK | i | i
DEL | want | ****
SUB | to | wanna
OK | do | do
OK | is | is
OK | begin | begin
OK | this | this
DEL | class | ****
DEL | that's | ****
DEL | going | ****
SUB | to | classes
SUB | talk | bennett
SUB | about | aqua
SUB | cognitive | cotton
OK | development | development
SUB | by | but
OK | talking | talking
OK | about | about
OK | his | his
OK | ideas | ideas
INS | **** | ah
OK | his | his
OK | idea | idea
OK | was | was
OK | that | that
OK | children | children
OK | are | are
OK | active | active
OK | thinkers | thinkers
OK | they're | they're
OK | trying | trying
OK | to | to
OK | figure | figure
OK | out | out
OK | the | the
OK | world | world
SUB | he | the
OK | often | often
SUB | described | describe
SUB | them | him
OK | as | as
OK | little | little
INS | **** | science
SUB | scientists | tom
OK | and | and
OK | incidentally | incidentally
DEL | to | ****
DEL | know | ****
SUB | where | the
SUB | he's | noise
OK | coming | coming
OK | from | from
OK | on | on
OK | this | this
INS | **** | he
OK | he | he
OK | had | had
OK | a | a
OK | very | very
INS | **** | hum
OK | dramatic | dramatic
OK | and | and
OK | ambitious | ambitious
OK | goal | goal
OK | he | he
OK | didn't | didn't
OK | start | start
SUB | off | out
OK | because | because
OK | he | he
OK | was | was
DEL | interested | ****
SUB | in | interesting
OK | children | children
OK | he | he
OK | started | started
SUB | off | up
SUB | because | this
SUB | he | easy
SUB | was | and
SUB | interested | rest
OK | in | in
SUB | the | a
SUB | emergence | merchants
OK | of | of
OK | knowledge | knowledge
INS | **** | and
SUB | in | gentle
SUB | general | bomb
OK | it | it
OK | was | was
OK | a | a
OK | discipline | discipline
OK | he | he
OK | described | described
OK | as | as
OK | genetic | genetic
INS | **** | that
INS | **** | this
SUB | epistemology | demolished
OK | the | the
OK | origins | origins
OK | of | of
OK | knowledge | knowledge
OK | but | but
SUB | he | a
SUB | studied | steady
OK | development | development
OK | of | of
OK | the | the
OK | individual | individual
OK | child | child
SUB | because | is
OK | he | he
OK | was | was
OK | convinced | convinced
INS | **** | tom
OK | that | that
OK | this | this
OK | development | development
OK | will | will
OK | tell | tell
OK | him | him
SUB | about | but
OK | the | the
OK | development | development
OK | of | of
OK | knowledge | knowledge
SUB | more | generally
SUB | generally | it
SUB | there's | is
OK | a | a
OK | very | very
SUB | snooty | snoopy
OK | phrase | phrase
OK | that | that
OK | i | i
OK | don't | don't
DEL | know | ****
DEL | if | ****
DEL | you | ****
SUB | ever | never
OK | heard | heard
OK | it | it
OK | before | before
OK | it's | it's
OK | a | a
OK | great | great
OK | phrase | phrase
OK | it's | it's
INS | **** | aunt
INS | **** | ha
INS | **** | jimmy
INS | **** | week
INS | **** | a
INS | **** | pitch
SUB | ontogeny | late
SUB | recapitulates | a
SUB | phylogeny | lot
OK | and | and
OK | the | the
OK | idea | idea
OK | of | of
OK | this | this
OK | what | what
OK | that | that
OK | means | means
SUB | is | it's
SUB | that | how
OK | development | development
OK | of | of
OK | an | an
OK | individual | individual
SUB | mimics | minutes
SUB | or | are
OK | repeats | repeats
OK | development | development
OK | of | of
DEL | the | ****
SUB | species | this
OK | now | now
OK | it's | it's
OK | entirely | entirely
OK | not | not
OK | true | true
OK | but | but
SUB | it's | as
OK | a | a
OK | beautiful | beautiful
OK | phrase | phrase
OK | and | and
INS | **** | yes
SUB | piaget | he
OK | was | was
OK | committed | committed
OK | to | to
OK | this | this
OK | he | he
OK | was | was
OK | very | very
DEL | interested | ****
DEL | in | ****
SUB | saying | interesting
OK | look | look
SUB | we'll | will
OK | figure | figure
SUB | how | attic
SUB | a | give
SUB | kid | it
SUB | develops | up
OK | and | and
SUB | that | i
OK | will | will
OK | tell | tell
OK | us | us
OK | about | about
OK | the | the
OK | development | development
OK | of | of
OK | knowledge | knowledge
OK | more | more
OK | generally | generally
OK | so | so
INS | **** | yes
SUB | piaget | they
OK | viewed | viewed
OK | the | the
INS | **** | trial
INS | **** | as
SUB | child | science
OK | as | as
OK | a | a
SUB | scientist | scientists
SUB | who | the
SUB | developed | develop
SUB | this | his
OK | understanding | understanding
OK | these | these
INS | **** | he
SUB | schemas | must
SUB | these | the
SUB | little | floor
SUB | miniature | manager
OK | theories | theories
OK | of | of
OK | the | the
OK | world | world
OK | and | and
DEL | they | ****
SUB | did | a
SUB | this | good
SUB | through | theirs
SUB | two | to
OK | sorts | sorts
OK | of | of
INS | **** | magnets
INS | **** | i
SUB | mechanisms | say
SUB | assimilation | malaysian
SUB | and | an
OK | accommodation | accommodation
OK | so | so
INS | **** | a
INS | **** | similar
SUB | assimilation | asian
OK | would | would
OK | be | be
OK | the | the
OK | act | act
OK | of | of
OK | expanding | expanding
OK | the | the
OK | range | range
OK | of | of
OK | things | things
SUB | that | they
OK | you | you
OK | respond | respond
INS | **** | bomb
SUB | to | yet
SUB | piaget's | his
OK | example | example
OK | would | would
OK | be | be
OK | a | a
DEL | baby | ****
SUB | who's | baby's
OK | used | used
OK | to | to
OK | sucking | sucking
OK | on | on
OK | a | a
OK | breast | breast
SUB | might | mike
