OP | REF | HYP
INS | **** | this
INS | **** | is
INS | **** | a
OK | this | this
OK | is | is
OK | a | a
OK | course | course
SUB | a | ab
OK | version | version
OK | of | of
OK | which | which
SUB | i've | i
OK | taught | taught
INS | **** | him
OK | almost | almost
OK | every | every
OK | year | year
OK | for | for
OK | the | the
OK | last | last
SUB | twenty | the
OK | years | years
SUB | and | added
SUB | it | a
SUB | evolves | balls
OK | a | a
OK | little | little
OK | bit | bit
OK | every | every
INS | **** | eye
OK | year | year
OK | i | i
OK | think | think
OK | i | i
OK | get | get
DEL | a | ****
OK | little | little
OK | bit | bit
OK | better | better
SUB | at | added
SUB | it | ah
OK | so | so
OK | hopefully | hopefully
OK | you'll | you'll
OK | get | get
OK | some | some
OK | advantage | advantage
OK | from | from
OK | that | that
OK | experience | experience
OK | but | but
OK | the | the
OK | idea | idea
OK | is | is
OK | to | to
OK | try | try
OK | to | to
OK | present | present
OK | to | to
OK | you | you
INS | **** | a
INS | **** | sort
INS | **** | of
OK | what's | what's
OK | exciting | exciting
OK | about | about
OK | biomedical | biomedical
OK | engineering | engineering
OK | the | the
OK | ways | ways
OK | that | that
OK | one | one
OK | can | can
OK | take | take
OK | science | science
OK | and | and
OK | mathematics | mathematics
OK | and | and
SUB | apply | applied
OK | that | that
OK | to | to
INS | **** | a
INS | **** | ca
OK | improve | improve
OK | human | human
OK | health | health
INS | **** | a
SUB | i'm | song
OK | not | not
OK | working | working
OK | alone | alone
OK | here | here
OK | but | but
OK | we | we
INS | **** | of
SUB | have | carried
SUB | three | by
OK | teaching | teaching
OK | fellows | fellows
OK | who | who
OK | are | are
OK | affiliated | affiliated
OK | with | with
OK | the | the
OK | course | course
OK | two | two
OK | of | of
OK | which | which
OK | are | are
OK | here | here
OK | today | today
OK | yen | yen
INS | **** | aq
SUB | cu | who
OK | is | is
SUB | back | they
SUB | there | are
OK | yen | yen
DEL | raise | ****
SUB | your | frasier
SUB | hand | can
OK | higher | higher
OK | so | so
OK | everyone | everyone
OK | can | can
OK | see | see
INS | **** | yeah
INS | **** | and
SUB | yen | i
OK | worked | worked
OK | on | on
OK | the | the
OK | course | course
OK | last | last
OK | year | year
OK | and | and
INS | **** | so
INS | **** | that
OK | she's | she's
OK | the | the
INS | **** | and
OK | senior | senior
OK | of | of
OK | the | the
OK | teaching | teaching
OK | fellows | fellows
OK | that | that
OK | are | are
OK | working | working
OK | on | on
OK | the | the
OK | course | course
INS | **** | at
OK | this | this
OK | year | year
OK | serge | serge
INS | **** | cope
SUB | kobsa | set
OK | is | is
OK | in | in
OK | the | the
OK | back | back
INS | **** | tom
SUB | and | band
SUB | he'll | the
SUB | be | of
OK | the | the
OK | second | second
INS | **** | that
OK | teaching | teaching
OK | fellow | fellow
OK | i | i
OK | should | should
OK | mention | mention
SUB | that | the
OK | yen | yen
OK | is | is
OK | a | a
INS | **** | ph
SUB | phd | d.
OK | student | student
OK | in | in
OK | biomedical | biomedical
OK | engineering | engineering
OK | and | and
INS | **** | that's
OK | serge | serge
OK | is | is
OK | an | an
SUB | m | empty
SUB | d | ph
SUB | /phd | d.
OK | student | student
OK | who's | who's
OK | getting | getting
INS | **** | is
INS | **** | a
SUB | his | ph
SUB | phd | d.
OK | in | in
OK | biomedical | biomedical
OK | engineering | engineering
SUB | the | good
SUB | third | god
OK | teaching | teaching
OK | fellow | fellow
OK | couldn't | couldn't
OK | make | make
OK | it | it
OK | today | today
SUB | his | is
OK | name | name
OK | is | is
OK | michael | michael
