OP | REF | HYP
OK | this | this
OK | is | is
DEL | one | ****
SUB | of | where
OK | my | my
OK | favorite | favorite
OK | topics | topics
OK | in | in
OK | the | the
OK | course | course
OK | food | food
OK | agriculture | agriculture
INS | **** | and
INS | **** | die
OK | and | and
SUB | i'm | and
OK | deeply | deeply
OK | interested | interested
INS | **** | in
OK | in | in
INS | **** | the
OK | everybody's | everybody's
OK | personal | personal
INS | **** | content
OK | connection | connection
OK | to | to
OK | food | food
DEL | you | ****
SUB | are | i'm
SUB | what | your
SUB | you | were
SUB | eat | to
SUB | you | review
SUB | are | our
SUB | what | were
SUB | you | to
OK | breathe | breathe
DEL | you | ****
DEL | are | ****
SUB | what | your
SUB | you | we
OK | drink | drink
OK | and | and
OK | we | we
OK | often | often
OK | don't | don't
DEL | have | ****
DEL | a | ****
SUB | very | every
OK | good | good
OK | understanding | understanding
OK | of | of
DEL | what's | ****
SUB | in | what
SUB | our | sarah
OK | food | food
OK | what's | what's
DEL | in | ****
DEL | our | ****
DEL | air | ****
SUB | and | miller
OK | what's | what's
DEL | in | ****
SUB | our | no
OK | water | water
OK | so | so
OK | hopefully | hopefully
OK | this | this
OK | will | will
INS | **** | sense
INS | **** | it
SUB | sensitize | ties
OK | you | you
OK | to | to
SUB | that | problem
SUB | problem | ah
OK | and | and
OK | also | also
OK | to | to
OK | get | get
OK | you | you
OK | to | to
OK | understand | understand
OK | hopefully | hopefully
INS | **** | of
OK | the | the
OK | structure | structure
OK | of | of
DEL | u | ****
SUB | s | us
SUB | environmental | normal
OK | law | law
DEL | that | ****
SUB | applies | prize
OK | to | to
OK | food | food
SUB | and | in
OK | agriculture | agriculture
DEL | and | ****
OK | this | this
SUB | is | isn't
SUB | an | it
OK | interesting | interesting
OK | area | area
DEL | of | ****
OK | law | law
OK | food | food
OK | like | like
OK | plastics | plastics
OK | like | like
OK | energy | energy
OK | it | it
OK | really | really
OK | does | does
OK | not | not
OK | have | have
OK | a | a
OK | distinctive | distinctive
INS | **** | our
OK | specific | specific
OK | body | body
OK | of | of
OK | law | law
OK | that | that
OK | applies | applies
OK | to | to
OK | it | it
OK | as | as
OK | opposed | opposed
OK | to | to
