OP | REF | HYP
INS | **** | good
OK | well | well
OK | today | today
OK | we're | we're
DEL | going | ****
SUB | to | gonna
OK | talk | talk
OK | about | about
INS | **** | them
OK | mixing | mixing
SUB | and | in
SUB | dilution | di
SUB | when | lucia
SUB | you | winnie
SUB | add | has
OK | something | something
OK | to | to
OK | the | the
OK | atmosphere | atmosphere
OK | gases | gases
OK | or | or
OK | particles | particles
INS | **** | ah
OK | what | what
OK | happens | happens
OK | to | to
DEL | it | ****
OK | how | how
SUB | does | is
OK | it | it
SUB | mix | makes
SUB | in | them
OK | to | to
OK | what | what
OK | degree | degree
OK | does | does
OK | it | it
OK | get | get
OK | diluted | diluted
OK | this | this
OK | is | is
OK | a | a
OK | subject | subject
INS | **** | of
SUB | that | us
SUB | has | hon
OK | applications | applications
OK | to | to
INS | **** | rome
INS | **** | two
SUB | human-induced | men
SUB | air | brewster
OK | pollution | pollution
OK | but | but
OK | also | also
OK | to | to
OK | a | a
OK | large | large
OK | number | number
OK | of | of
OK | natural | natural
OK | processes | processes
OK | in | in
OK | the | the
OK | atmosphere | atmosphere
INS | **** | ah
OK | so | so
OK | it's | it's
OK | really | really
INS | **** | it's
SUB | a | really
SUB | set | a
SUB | of | several
OK | quite | quite
OK | fundamental | fundamental
OK | ideas | ideas
OK | and | and
OK | i | i
SUB | could | can
OK | be | be
OK | thinking | thinking
OK | about | about
OK | either | either
OK | small | small
OK | particles | particles
OK | or | or
OK | gases | gases
OK | added | added
OK | to | to
SUB | the | them
SUB | atmosphere | sir
OK | basically | basically
DEL | something | ****
DEL | that's | ****
SUB | going | something's
SUB | to | gonna
OK | move | move
OK | with | with
OK | the | the
OK | air | air
OK | and | and
DEL | mix | ****
DEL | in | ****
SUB | in | duh
SUB | a | makes
SUB | way | n.
SUB | if | n.
SUB | the | away
SUB | particles | articles
OK | are | are
OK | large | large
OK | enough | enough
OK | of | of
OK | course | course
OK | they | they
OK | might | might
SUB | gravitationally | gravitational
SUB | fall | it
SUB | out | fallout
OK | after | after
SUB | awhile | while
OK | and | and
OK | that | that
OK | effect | effect
OK | would | would
OK | not | not
OK | be | be
OK | included | included
OK | in | in
OK | the | the
OK | calculations | calculations
DEL | i'm | ****
SUB | doing | on
SUB | here | to
SUB | so | your
SUB | i'm | slime
SUB | assuming | someone
OK | the | the
OK | particles | particles
SUB | are | our
OK | small | small
OK | or | or
DEL | it's | ****
DEL | a | ****
SUB | gas | the
SUB | so | grunted
SUB | that | desolate
OK | it | it
OK | will | will
OK | just | just
OK | move | move
OK | along | along
OK | with | with
OK | the | the
INS | **** | with
SUB | air | your
SUB | itself | self
SUB | so | sol
SUB | the | hobby
SUB | easiest | this
OK | case | case
INS | **** | there's
SUB | maybe | a
SUB | it's | low
SUB | a | but
SUB | little | them
SUB | bit | a
SUB | unnatural | natural
OK | but | but
INS | **** | not
OK | not | not
OK | so | so
OK | much | much
OK | is | is
SUB | that | it
SUB | you're | your
SUB | in | honor
SUB | a | can
SUB | confined | find
OK | valley | valley
OK | and | and
INS | **** | uh
OK | you | you
OK | know | know
OK | the | the
OK | dimensions | dimensions
OK | of | of
OK | the | the
INS | **** | ballot
SUB | valley | or
SUB | horizontal | song
OK | dimensions | dimensions
OK | of | of
DEL | the | ****
SUB | valley | what
OK | and | and
OK | the | the
OK | valley | valley
OK | is | is
SUB | capped | kept
OK | in | in
OK | some | some
OK | way | way
SUB | i've | our
SUB | written | britain
OK | here | here
OK | that | that
OK | it's | it's
OK | capped | capped
OK | by | by
INS | **** | i
SUB | an | mean
SUB | inversion | version
OK | now | now
INS | **** | all
SUB | i'll | load
OK | give | give
OK | a | a
OK | more | more
OK | careful | careful
OK | and | and
OK | physical | physical
OK | interpretation | interpretation
OK | of | of
INS | **** | an
INS | **** | version
SUB | inversion | paul
OK | later | later
OK | on | on
INS | **** | but
OK | but | but
SUB | an | in
SUB | inversion | person
OK | is | is
OK | defined | defined
OK | as | as
OK | a | a
OK | layer | layer
OK | of | of
OK | air | air
OK | in | in
OK | which | which
OK | the | the
OK | temperature | temperature
OK | increases | increases
OK | with | with
OK | height | height
OK | and | and
OK | for | for
OK | reasons | reasons
OK | that | that
OK | are | are
OK | not | not
DEL | at | ****
OK | all | all
OK | clear | clear
OK | from | from
OK | what | what
SUB | i've | i
OK | just | just
OK | said | said
OK | but | but
OK | will | will
OK | become | become
OK | clear | clear
DEL | it's | ****
OK | very | very
OK | difficult | difficult
OK | for | for
OK | mixing | mixing
OK | to | to
INS | **** | work
SUB | occur | or
OK | across | across
OK | an | an
DEL | inversion | ****
SUB | an | version
SUB | inversion | conversion
OK | tends | tends
OK | to | to
OK | act | act
OK | almost | almost
OK | like | like
OK | a | a
OK | rigid | rigid
SUB | lid | let
OK | it | it
OK | holds | holds
SUB | air | care
OK | and | and
INS | **** | blooms
INS | **** | all
SUB | pollutants | oh
OK | below | below
OK | it | it
SUB | or | cor
SUB | in | and
SUB | any | then
SUB | way | you
SUB | prevents | are
SUB | it | prevented
OK | from | from
OK | crossing | crossing
OK | in | in
OK | this | this
OK | case | case
OK | it | it
INS | **** | traps
INS | **** | that
OK | traps | traps
INS | **** | is
INS | **** | a
SUB | these | looms
SUB | pollutants | bloated
SUB | below | version
SUB | the | silk
SUB | inversion | all
SUB | so | up
SUB | leaving | leading
OK | that | that
OK | as | as
OK | only | only
OK | partially | partially
SUB | defined | fine
SUB | concept | concepts
OK | for | for
OK | a | a
OK | moment | moment
INS | **** | we
SUB | we'll | all
OK | know | know
SUB | then | than
OK | the | the
