OP | REF | HYP
INS | **** | the
SUB | sex | sachs
OK | is | is
OK | really | really
OK | strange | strange
OK | you | you
SUB | ask | asked
OK | people | people
DEL | what's | ****
DEL | your | ****
SUB | favorite | david
OK | activity | activity
OK | and | and
OK | if | if
OK | you | you
OK | ask | ask
OK | people | people
OK | particularly | particularly
OK | college | college
OK | students | students
DEL | particularly | ****
SUB | just | critically
SUB | fresh | at
SUB | from | this
OK | spring | spring
OK | break | break
OK | i've | i've
OK | seen | seen
SUB | teen | the
OK | movies | movies
INS | **** | comp
INS | **** | though
SUB | they'll | all
SUB | often | the
SUB | answer | matter
OK | sex | sex
OK | or | or
OK | some | some
OK | word | word
OK | that | that
OK | is | is
DEL | synonymous | ****
SUB | with | anonymous
OK | sex | sex
SUB | but | what
OK | there's | there's
OK | a | a
DEL | kind | ****
DEL | of | ****
SUB | a | camilla
OK | puzzle | puzzle
OK | about | about
OK | how | how
OK | much | much
OK | time | time
OK | we | we
OK | spend | spend
OK | on | on
OK | sex | sex
DEL | and | ****
DEL | it | ****
DEL | turns | ****
SUB | out | time
SUB | there | so
SUB | is | there's
OK | data | data
OK | on | on
DEL | this | ****
OK | so | so
OK | people | people
OK | say | say
DEL | sex | ****
SUB | is | sexist
SUB | their | or
SUB | favorite | favored
OK | activity | activity
OK | but | but
OK | it | it
OK | turns | turns
OK | out | out
OK | we | we
OK | actually | actually
OK | know | know
OK | how | how
OK | much | much
OK | time | time
DEL | the | ****
OK | average | average
OK | american | american
OK | spends | spends
OK | on | on
OK | sex | sex
OK | and | and
DEL | the | ****
DEL | data | ****
SUB | i'm | they
SUB | going | didn't
SUB | to | wanna
OK | follow | follow
SUB | from | promise
SUB | was | some
SUB | summarized | rise
SUB | in | by
OK | this | this
INS | **** | witness
OK | wonderful | wonderful
OK | book | book
OK | by | by
OK | james | james
INS | **** | polite
INS | **** | tom
SUB | gleick | action
OK | americans | americans
OK | tell | tell
DEL | pollsters | ****
SUB | their | pulitzer
OK | single | single
SUB | favorite | favored
OK | activity | activity
OK | is | is
OK | sex | sex
OK | in | in
OK | terms | terms
OK | of | of
INS | **** | enjoy
SUB | enjoyability | ability
OK | they | they
SUB | rank | rang
OK | sex | sex
OK | ahead | ahead
OK | of | of
INS | **** | us
OK | sports | sports
OK | fishing | fishing
SUB | bar-hopping | bar
SUB | hugging | hopping
SUB | and | hugging
OK | kissing | kissing
OK | talking | talking
OK | with | with
OK | the | the
OK | family | family
OK | eating | eating
OK | watching | watching
SUB | television | tv
OK | going | going
OK | on | on
OK | trips | trips
OK | planning | planning
OK | trips | trips
OK | gardening | gardening
OK | bathing | bathing
OK | shopping | shopping
OK | dressing | dressing
INS | **** | house
SUB | housework | workers
SUB | dishwashing | watching
OK | laundry | laundry
OK | visiting | visiting
DEL | the | ****
SUB | dentist | advances
SUB | and | in
SUB | getting | gettin'
OK | the | the
OK | car | car
SUB | repaired | repair
OK | on | on
OK | the | the
OK | other | other
OK | hand | hand
SUB | these | this
OK | same | same
OK | studies | studies
OK | suggested | suggested
OK | the | the
OK | average | average
OK | time | time
SUB | per | her
OK | day | day
OK | devoted | devoted
OK | to | to
OK | sex | sex
INS | **** | it
OK | is | is
OK | four | four
OK | minutes | minutes
