OP | REF | HYP
OK | sex | sex
OK | is | is
OK | really | really
OK | strange | strange
OK | you | you
SUB | ask | asked
OK | people | people
DEL | what's | ****
DEL | your | ****
OK | favorite | favorite
OK | activity | activity
OK | and | and
OK | if | if
OK | you | you
OK | ask | ask
OK | people | people
OK | particularly | particularly
OK | college | college
OK | students | students
DEL | particularly | ****
SUB | just | typically
SUB | fresh | at
SUB | from | this
OK | spring | spring
OK | break | break
OK | i've | i've
OK | seen | seen
SUB | teen | the
OK | movies | movies
INS | **** | comp
INS | **** | though
SUB | they'll | all
SUB | often | the
SUB | answer | matter
OK | sex | sex
OK | or | or
OK | some | some
OK | word | word
DEL | that | ****
SUB | is | at
SUB | synonymous | this
SUB | with | anonymous
OK | sex | sex
OK | but | but
OK | there's | there's
OK | a | a
DEL | kind | ****
SUB | of | come
SUB | a | up
OK | puzzle | puzzle
OK | about | about
OK | how | how
OK | much | much
OK | time | time
OK | we | we
OK | spend | spend
OK | on | on
OK | sex | sex
DEL | and | ****
DEL | it | ****
DEL | turns | ****
DEL | out | ****
SUB | there | times
SUB | is | others
OK | data | data
OK | on | on
DEL | this | ****
OK | so | so
OK | people | people
OK | say | say
DEL | sex | ****
SUB | is | sexes
SUB | their | are
OK | favorite | favorite
OK | activity | activity
OK | but | but
OK | it | it
OK | turns | turns
OK | out | out
OK | we | we
OK | actually | actually
SUB | know | no
OK | how | how
OK | much | much
OK | time | time
DEL | the | ****
OK | average | average
OK | american | american
OK | spends | spends
OK | on | on
OK | sex | sex
OK | and | and
DEL | the | ****
DEL | data | ****
SUB | i'm | did
SUB | going | they
SUB | to | animal
OK | follow | follow
OK | from | from
INS | **** | a
SUB | was | some
SUB | summarized | rise
SUB | in | by
OK | this | this
INS | **** | witness
OK | wonderful | wonderful
OK | book | book
OK | by | by
OK | james | james
INS | **** | polite
INS | **** | tom
SUB | gleick | have
OK | americans | americans
OK | tell | tell
DEL | pollsters | ****
SUB | their | pulitzer
OK | single | single
OK | favorite | favorite
OK | activity | activity
OK | is | is
OK | sex | sex
OK | in | in
OK | terms | terms
OK | of | of
INS | **** | enjoy
SUB | enjoyability | ability
OK | they | they
SUB | rank | rang
OK | sex | sex
OK | ahead | ahead
OK | of | of
INS | **** | us
OK | sports | sports
OK | fishing | fishing
SUB | bar-hopping | bar
SUB | hugging | hopping
SUB | and | hugging
OK | kissing | kissing
OK | talking | talking
OK | with | with
OK | the | the
OK | family | family
OK | eating | eating
OK | watching | watching
OK | television | television
OK | going | going
OK | on | on
OK | trips | trips
OK | planning | planning
OK | trips | trips
OK | gardening | gardening
OK | bathing | bathing
OK | shopping | shopping
OK | dressing | dressing
INS | **** | house
SUB | housework | workers
SUB | dishwashing | watching
OK | laundry | laundry
OK | visiting | visiting
DEL | the | ****
SUB | dentist | advances
SUB | and | in
SUB | getting | gettin'
OK | the | the
OK | car | car
SUB | repaired | repair
OK | on | on
OK | the | the
OK | other | other
OK | hand | hand
SUB | these | this
OK | same | same
OK | studies | studies
OK | suggested | suggested
DEL | the | ****
OK | average | average
OK | time | time
SUB | per | her
OK | day | day
OK | devoted | devoted
OK | to | to
OK | sex | sex
OK | is | is
SUB | four | for
OK | minutes | minutes
OK | and | and
OK | three | three
SUB | seconds | sex
OK | as | as
SUB | gleick | like
OK | says | says
DEL | this | ****
SUB | is | dz
OK | not | not
OK | much | much
OK | even | even
SUB | if | at
OK | the | the
SUB | four | for
OK | minutes | minutes
INS | **** | is
INS | **** | inc
INS | **** | school
SUB | excludes | dz
OK | time | time
SUB | spent | fend
OK | flirting | flirting
OK | dancing | dancing
INS | **** | i'm
SUB | ogling | going
OK | cruising | cruising
INS | **** | double
SUB | the | of
SUB | boulevard | our
SUB | toning | toni
OK | up | up
OK | in | in
SUB | gyms | jams
SUB | toning | tony
OK | up | up
SUB | in | and
OK | beauty | beauty
SUB | parlors | bars
OK | rehearsing | rehearsing
OK | pick | pick
OK | up | up
INS | **** | winds
SUB | lines | shower
SUB | showering | inc
SUB | thinking | king
OK | about | about
OK | sex | sex
OK | reading | reading
OK | about | about
OK | sex | sex
INS | **** | brutally
INS | **** | pornographic
SUB | doodling | late
SUB | pornographically | i
OK | looking | looking
OK | at | at
OK | erotic | erotic
INS | **** | mag
SUB | magazines | genes
OK | renting | renting
OK | videos | videos
OK | dreaming | dreaming
OK | of | of
OK | sex | sex
OK | looking | looking
OK | at | at
OK | fashion | fashion
OK | magazines | magazines
OK | cleaning | cleaning
OK | up | up
OK | after | after
OK | sex | sex
OK | coping | coping
OK | with | with
OK | the | the
OK | consequences | consequences
OK | of | of
OK | sex | sex
OK | building | building
OK | towers | towers
OK | or | or
OK | otherwise | otherwise
INS | **** | were
SUB | repressing | pressing
OK | transferring | transferring
OK | and | and
INS | **** | so
INS | **** | will
SUB | sublimating | mating
OK | and | and
OK | i | i
OK | like | like
OK | this | this
OK | passage | passage
OK | because | because
OK | it | it
OK | illustrates | illustrates
OK | two | two
OK | points | points
DEL | two | ****
SUB | important | one
SUB | points | point
OK | one | one
OK | is | is
OK | we | we
OK | don't | don't
OK | actually | actually
INS | **** | is
OK | spend | spend
OK | that | that
OK | much | much
OK | time | time
OK | on | on
OK | sex | sex
OK | in | in
DEL | fact | ****
SUB | the | factor
SUB | four | for
OK | minutes | minutes
OK | and | and
OK | three | three
OK | seconds | seconds
DEL | is | ****
OK | an | an
OK | interesting | interesting
OK | number | number
OK | because | because
INS | **** | would
INS | **** | you
INS | **** | and
OK | when | when
OK | you | you
OK | do | do
SUB | times | time
OK | studies | studies
DEL | on | ****
OK | how | how
OK | much | much
OK | americans | americans
SUB | spend | than
OK | filling | filling
OK | out | out
INS | **** | we're
SUB | tax-related | late
SUB | forms | informs
OK | for | for
SUB | the | retire
SUB | irs | asked
OK | it's | it's
OK | four | four
OK | minutes | minutes
SUB | and | in
OK | a | a
OK | few | few
INS | **** | sack
SUB | seconds | wrong
OK | but | but
OK | the | the
OK | passage | passage
OK | also | also
SUB | points | point
SUB | out | so
OK | that | that
OK | regardless | regardless
OK | of | of
OK | the | the
OK | brute | brute
OK | time | time
OK | we | we
OK | spend | spend
OK | on | on
OK | it | it
INS | **** | this
SUB | it | its
SUB | is | fort
SUB | extraordinarily | narrowly
OK | important | important
SUB | everything | on
SUB | in | everything
SUB | life | unlike
OK | follows | follows
OK | from | from
DEL | it | ****
OK | marriage | marriage
OK | family | family
OK | children | children
OK | much | much
OK | of | of
OK | aggression | aggression
OK | much | much
OK | of | of
OK | competition | competition
OK | much | much
OK | of | of
OK | art | art
OK | and | and
OK | music | music
OK | and | and
OK | creative | creative
OK | pursuits | pursuits
OK | much | much
OK | of | of
OK | everything | everything
SUB | follows | false
OK | from | from
SUB | it | at
OK | if | if
OK | we | we
OK | were | were
DEL | a | ****
OK | creature | creature
OK | without | without
OK | sex | sex
OK | everything | everything
OK | would | would
OK | be | be
OK | different | different
OK | and | and
SUB | what's | was
OK | interesting | interesting
DEL | is | ****
SUB | there | as
SUB | are | dark
OK | creatures | creatures
OK | without | without
OK | sex | sex
OK | there | there
OK | are | are
OK | creatures | creatures
SUB | that | it
OK | reproduce | reproduce
OK | by | by
OK | cloning | cloning
OK | and | and
OK | in | in
OK | fact | fact
OK | this | this
OK | basic | basic
OK | fact | fact
OK | about | about
OK | people | people
OK | that | that
OK | we | we
OK | fall | fall
OK | roughly | roughly
INS | **** | in
SUB | into | the
OK | males | males
OK | and | and
OK | females | females
OK | is | is
SUB | an | a
OK | evolutionary | evolutionary
SUB | mystery | best
OK | it's | it's
OK | not | not
OK | clear | clear
OK | why | why
OK | animals | animals
OK | that | that
OK | are | are
OK | somewhat | somewhat
OK | large | large
INS | **** | from
SUB | have | what
SUB | two | i've
SUB | sexes | why
SUB | from | logical
SUB | a | darwin
SUB | biological | the
SUB | darwinian | in
OK | perspective | perspective
SUB | having | adding
OK | two | two
OK | sexes | sexes
OK | is | is
OK | bizarre | bizarre
SUB | because | is
OK | each | each
OK | time | time
OK | you | you
DEL | have | ****
SUB | an | haven't
OK | offspring | offspring
OK | you | you
OK | toss | toss
OK | away | away
DEL | half | ****
SUB | your | happy
OK | genes | genes
OK | my | my
OK | children | children
OK | only | only
SUB | have | at
OK | each | each
DEL | of | ****
OK | them | them
OK | have | have
OK | half | half
INS | **** | maybe
SUB | my | in
SUB | dna | may
OK | if | if
OK | i | i
SUB | were | was
OK | to | to
OK | clone | clone
OK | they | they
OK | would | would
OK | have | have
OK | all | all
OK | of | of
OK | it | it
OK | and | and
OK | so | so
DEL | it's | ****
SUB | a | to
OK | puzzle | puzzle
SUB | how | have
OK | sex | sex
OK | ever | ever
SUB | evolved | paul
OK | this | this
OK | is | is
OK | not | not
OK | a | a
OK | course | course
OK | in | in
OK | evolutionary | evolutionary
OK | biology | biology
OK | and | and
OK | that's | that's
OK | not | not
